ids	class label
3 47 22 607 3 562 22 4576 57 1 29 405 380 725 284 107 4 417 505 14 346 686 4 4113 6218 57 1 8976 248 3917 2 1 45 29 11 292 12 25 2087 5 0 45 3 8 3752 33 9 14 3753 6 47 22 35 12 97 120 127 13 124 42 769 6 19 170 83 13 138 5 793 57 1 146 204 248 373 13 1810 127 81 284 16 3 77 17 29 2 3 71 22 108 6 79 4 353 187 5 86 15 1 8976 18 1867 49 369 489 2 18 1867 84 123 5689 87 12 82 5690 248 704 39 4 490 46 956 1867 115 3238 115 2936 115 7799 1 248 18 113 34 9 1219 1 91 16 3 1687 14 346 11 173 378 137 5 499 4 2662 7 489 28 12 3 47 0 1 277 248 30 203 552 62 6888 176 608 4114 520 183 36 381 944 65 21 845 118 1 731 2 7800 59 3 75 1609 47 22 162 5 99 41 1 629 186	5
91 1009 5 52 5 2048 19 26 4115 2 3754 18 480 406 1157 192 13 48 200 1026 7 1036 41 7 1 653 12 18 480 2 45 353 752 7 1 283 223 274 1036 965 9 268 1 514 7 284 63 647 15 63 2213 0 38 13 124 4 3755 645 18 119 597 274 965 188 200 19 278 10 1868 21 112 20 4 1195 121 93 3028 2 101 129 1428 7 223 1 129 863 7 1 1036 65 32 519 1026 10 256 12 47 22 1933 2 4 523 7 1384 1 876 136 41 5 57 533 12 19 4 80 107 1532 457 642 1130 632 219 478 18 23 6219 1498 308 169 8 42 351 3 68 115 25 2088 153 2 18 131 14 156 34 271 2313 3 161 241 13 140 11 2179 38 6 19 10 49 406 1157 20 3239 8977 46 24 18 68 95 36 31 2 3 73 35 64	5
112 44 1261 15 1 6889 2 346 17 29 9 1 353 5250 476 5250 1767 744 838 21 491 12 6 8 1 4577 3365 44 20 453 10 357 11 2049 1084 1401 26 684 613 1 581 192 13 106 63 184 21 426 15 1 949 1384 524 625 2 3 831 1 5691 96 15 1314 214 555 1385 25 58 398 206 15 2937 12 8 43 210 346 25 1 788 3622 15 6220 3 385 169 2 39 1 31 8 132 34 32 70 43 739 2 619 208 2 223 1811 34 9 62 1533 110 12 3366 1315 5692 33 81 33 58 214 386 34 9 148 4 80 675 11 1 64 2363 381 1113 808 50 3240 3116 1113 808 1010 33 81 33 648 2419 1170 0 2 82 301 3 492 241 4 556 5 4326 675 10 4 149 203 430 184	5
3 401 35 2854 2 1316 12 17 9 24 4 205 1027 209 3 1840 5 108 1 209 9 4 27 29 11 4 4116 10 745 566 957 554 2 1122 1066 10 256 224 10 1254 1066 415 23 5 52 1499 11 4 4116 6 9 36 1629 15 381 1284 17 209 47 2749	3
1044 77 17 209 23 66 4 2089 10 6221 16 8 43 422 15 1 1285 122 1085 90 198 511 11 1429 19 1220 92 79 869 391 59 3029 306 90 12 160 34 763 22 145 2314 20 1 1262 39 5693 19 32 1609 41 7 4 0 3 165 239 20 129 567 1742 30 49 209 13 633 5 427 40 12 63 186 1609 246 977 858 1429 19 0 11 7801 374 53 6 19 1968 3117 298 17 8 93 92 19 306 90 18 165 42 7802 39 49 2004 386 5 5251 1 1211 154 115 685 5 445 1 82 209 322 84 5 1365 4 5252 10 40 466 92 3367 39 5693 19 32 1609 41 7 1 701 8978 958 1105 1 1262 69 1196 764 4117 334 3 1564 12 1 1262 1630 22 3488 701 3756 20 1 277 154 3 165 239 20 1 4327 30 49 209 3489 5 166 6 227 23 3488 51 20 1 1262 3756 92 148 3367 39 800 32 1609 41 115 504 3 845 6 1317 50 45 7 63 5694 2 6 8 1197 76	2
103 118 131 4 1443 2 530 5 35 588 185 5 1 578 204 4118 43 1669 24 5 978 6 8 0 3117 298 12 154 3 257 5 35 588 1499 16 1 3118 1812 8 12 17 8 39 12 8 684 921 5 1718 81 3 131 1443 16 92 42 131 199 1812 12 21 481 5 35 4 1444 547 5 410 1499 3 443 6 134 211 69 83 14 320 1768 49 476 3 71 22	2
4578 666 2938 1263 5 129 141 211 572 1 201 26 43 27 2 1 114 8 43 109 296 40 496 15 58 6222 1 419 8 149 2 210 33 11 255 32 353 897 141 221 505 794 20 1 382 32 70 149 2 972 3 25 4 383 666 4 2750 666 876 57 200 533 1 383 8 332 16 1 2750 8 94 0 3 4119 1 460 114 877 5 4 391 2 263 41 12 18 113 0 411 7 1 1645 929 44 12 19 127 237 661 0 10 120 46 1239 4328	3
81 72 4120 10 1 2939 178 59 1131 201 572 3756 2 42 339 178 156 83 1 209 3757 1366 17 621 3 23 115 4121 10 1 29 28 3 161 345 22 726 6 293 38 63 224 10 58 332 4888 3368 30 1500 1968 118 119 17 9 63 621 5 52 157 207 2 35 5253 14 247	1
21 407 1028 1 146 98 150 216 129 249 93 1 6890 19 1402 6 9 271 170 126 1240 1 146 6890 19 535 2 1430 37 1 2180 6223 98 49 59 9 36 21 101 4 130 2 139 3 227 23 1221 120 5 106 4 130 50 4 146 1969 399 98 873 646 143 15 146 1969 687 2 1264 6 471 64 3119 7 2751 15 14 4122 8979 1335 0 46 0 8 1 120 2752 646 143	3
30 4579 4 556 5 0 10 55 247 1646 380 249 64 2663 90 5 0 493 2 1 0 7 199 529 7 2050 0 1 278 5695 7 0 2 6224 885 55 247 26 148 753 3490 249 526 16 126 14 204 878 23 0 10 1 0 7 4 80 1610 2 1354 3758 0 50 14 222 1037 77 3 23 0 50 1 204 493 1869 902 10 4889 19 83 6 19 170 2 60 1970 11 541 4329 11 541 446 4 146 7803 530 4330 493 11 604 2664 431 431 431 3 68 95 4330 493 11 14 3918 3 239 1 214 327 493 202 2 1 4890 493 2181 2 1 283 131 225 169 8 1296 2 3 151 35 64 5 99 1 720 1 98 9 4 560 243 4891 1431 272 7 4 134 4123 912 15 4 133 375 310 2 4 493 109 328 3241 0 6 19 2753 2 6 19 1631 52 1106 99 6 13 42 415 1550 11 77	5
1812 40 126 11 1 697 23 3 966 662 1590 50 3919 1769 801 10 107 4 898 2 23 69 1212 620 7 17 1265 1770 60 3 138 5 104 4 250 2051 90 5 3919 1769 769 6 9 1 91 98 172 3 91 180 6 4 99 119 127 1 541 186 9 1222 87 1 1336 186 16 3 77 189 912 4 197 3491 662 676 548 102 589 30 4 581 663 1 460 2 102 589 30 4580 789 375 1518 1841 1386 2 4892 2 10 1 171 362 94 27 340 14 603 2 3 101 1 358 1769 2 1 3030 96 1769 18 32 2364 28 27 1 358 1769 8 161 1 120 7 1 134 16 3 165 106 195 7 84 144 145 154 4 80 1053 179 3492 5 113 4 645 220 280 2 163 3 3242 357 12 23 4 4581 7 855 486 60 7804 26 13 1132 11 38 13 71 22 480 825 486 255 567 48 15 1 2214 39 13 82 357 13 104 122 13 26 3 312 1 682 156 2 47 22 162 10 55 185 556	5
1971 4 879 12 3 3242 5 17 2260 2 3 23 5 135 3 75 94 521 33 4 222 54 4582 515 0 0 3 23 508 67 87 14 846 7 0 0 2 2665 5696 3 104 1 7805 2 23 508 67 87 45 2462 35 2261 11 5 1 36 701 1114 7 81 7 349 3 138 5 23 1 91 376 1 103 190 3 809 9 12 34 9 72 6891 6 396 22 1038 37 34 23 66 6221 7 2521 0 333 1 1565 12 220 1 234 5 3243 33 598 33 18 1842 1 235 42 11 839 17 9 49 45 198 945 30 1223 164 663 119 34 9 1 339 220 7 1 29 1 765 3 304 5 1275 85 25 4 0 708 7 220 5 6 8980 32 1037 6225 32 1074 1 436 235 8 576 15 4583 41 2754 483 17 765 8 3759 1335 9 1843 46 0 3 105 376 392 14 493 950 51 20 6 930 2 166 1133 1432 60 26 21 677 44 4124 8 2365 15 164 3 68 115 0 11 4 2666 765 153 92 8 3369 6 19 243 902 10 1 183 168 40 12 8 1241 11 1 0 12 6226 8 4125 0 34 32 72 0 7 82 2521 1 114 8 1286 109 2 458 3 25 4 242 6892 12 3 8 1481 11 2 18 4584 0 333 1 682 190 152 3 8 34 10 45 7 14 2940 1 4585 685 5 630 39 7 84 11 14 6227 51 10 40 15 3120 8980 28 12 3 516 22 23 5 35 3244 11 1 1297 3 275 12 8 4 355 54 2182 480 2 11 1 782 12 3 172 23 5 52 15 62 2755 2 111 24 469 5 2941 20 7806 407 3 8 11 62 0 235 30 1 54 7 14 1461 2 622 392 87 150 221 10 195 1 3245 2 1 879 3 8 11 62 41 605 216 196 2 12 14 247 9 3623 59 5254 3 282 832 5 4 222 3624 15 6893 0 2 73 2667 412 1 141 1501 1566 50 14 237 2666 11 106 5 3246 195 14 2940 2 3 26 1688 81	5
582 27 746 1567 3 75 24 4586 3 75 1567 1 746 9 43 27 285 53 4 98 79 1647 7 1 31 20 1 100 3 1242 0 108 7 2942 19 2 3121 2591 16 44 1 8981 26 24 7807 7 273 178 11 433 1 31 535 27 117 3 978 1 746 9 56 27	4
3 104 12 4893 3920 522 4 178 4587 30 174 16 3 234 5 3625 126 78 18 32 5 40 1 82 154 3 112 11 34 5 499 58 2005 0 2 263 169 3 481 2 112 5 451 10 169 3 1045 117 24 147 169 118 1 0 7 1648 2 313 45 1719 34 53 3 95 203 2 255 301 32 24 11 1 64 7 14 4588 3 112 64 159 34 18 306 40 5 42 52 2 48 134 67 1611 7 1 922 3 8 1255 3 56 454 18 32 28 78 11 677 12 714 13 4893 3920	4
3 23 880 115 508 17 29 314 2 3 363 134 2420 297	1
